Country Name,Country_Code,Indicator Name,Indicator Code,year,GDP_capita
Norway,NOR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,62736.68047
Nepal,NPL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2042.140687
New Zealand,NZL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,32283.02948
High income: OECD,OEC,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,39852.19951
OECD members,OED,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,36240.16525
Iraq,IRQ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,13226.94139
Other small states,OSS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,8644.913329
Pakistan,PAK,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,4322.534383
Panama,PAN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,16511.05477
Peru,PER,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,10378.57187
Philippines,PHL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,5754.112442
Palau,PLW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,13033.65817
Papua New Guinea,PNG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2345.065877
Poland,POL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,22520.0128
Puerto Rico,PRI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,34121.07729
"Korea, Dem. Rep.",PRK,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Portugal,PRT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,26932.40813
Paraguay,PRY,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,7504.677492
Pacific island small states,PSS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,4871.706171
French Polynesia,PYF,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Jordan,JOR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,11292.20029
Romania,ROU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,17624.5218
Russian Federation,RUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,22569.81427
Rwanda,RWA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1397.224691
South Asia,SAS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,4413.090944
Tunisia,TUN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,10218.57874
Sudan,SDN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,3478.252239
Senegal,SEN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2159.022888
Singapore,SGP,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,74949.06837
Solomon Islands,SLB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1976.4069
Sierra Leone,SLE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1374.579145
El Salvador,SLV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,7596.509131
San Marino,SMR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Somalia,SOM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Serbia,SRB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,12571.89036
Sub-Saharan Africa (developing only),SSA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,3160.078936
South Sudan,SSD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,3461.751039
Sub-Saharan Africa (all income levels),SSF,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,3190.593713
Small states,SST,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,9685.738946
Sao Tome and Principe,STP,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2839.895903
Suriname,SUR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,15119.74355
Slovak Republic,SVK,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,25167.45953
Slovenia,SVN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,28513.47483
Sweden,SWE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,43709.21145
Swaziland,SWZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,7620.196615
Sint Maarten (Dutch part),SXM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,36327.2319
Seychelles,SYC,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,22556.41933
Syrian Arab Republic,SYR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Turks and Caicos Islands,TCA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,
Chad,TCD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1862.351166
Togo,TGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1255.087825
Thailand,THA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,13654.27246
Tajikistan,TJK,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,2229.445742
Turkmenistan,TKM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,11360.50215
Timor-Leste,TLS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,1965.522007
Tonga,TON,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,5030.652213
Trinidad and Tobago,TTO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,29765.03096
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,10071.20526
Morocco,MAR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2011,6746.899456
Tuvalu,TUV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,,3488.248359
